YEAR,MONTH,DAY_OF_MONTH,WEEKDAY,HOUR,DEP_ARR,AIRLINE_IATA,FLIGHT_ID,TO_FROM,INT_DOM_SCHENGEN,GATE_STAND,PRECIPITATION,WIND_DIRECTION,VISIBILITY,AIR_TEMPERATURE,WIND_SPEED,TARGET
2016,1,1,4,6,DEPARTURE,AF,AF1275,CDG,S,39,0.0,0,7000,0,1.0,0
2016,1,1,4,7,ARRIVAL,SK,SK843,ARN,S,39,0.2,100,2900,0,1.5,0
2016,1,1,4,7,DEPARTURE,WF,WF124,FRO,D,2,0.2,100,2900,0,1.5,0
2016,1,1,4,8,ARRIVAL,AY,AY651,HEL,S,185,0.2,100,2900,0,1.5,0
2016,1,1,4,8,DEPARTURE,SK,SK864,ARN,S,39,0.2,100,2900,0,2.1,0
2016,1,1,4,9,DEPARTURE,DY,DY1740,BCN,S,42,0.1,90,2900,0,2.1,0
2016,1,1,4,9,DEPARTURE,SK,SK4697,LPA,S,40,0.1,90,2900,0,2.1,0
2016,1,1,4,9,DEPARTURE,DY,DY320,ALF,D,16,0.1,60,2900,0,1.5,0
2016,1,1,4,9,DEPARTURE,LH,LH859,FRA,S,46,0.1,60,2900,0,1.5,1
2016,1,1,4,9,DEPARTURE,DY,DY1632,VIE,S,43,0.1,60,2900,0,1.5,0
2016,1,1,4,9,DEPARTURE,DY,DY1502,PRG,S,38,0.1,60,2900,0,1.5,0
2016,1,1,4,9,DEPARTURE,DY,DY1040,KRK,S,47A,0.1,60,2900,0,1.5,0
2016,1,1,4,9,DEPARTURE,SK,SK4414,TOS,D,20,0.0,0,2900,0,0.5,1
2016,1,1,4,10,DEPARTURE,DY,DY1126,HAM,S,45,0.0,0,2900,0,0.5,0
2016,1,1,4,10,DEPARTURE,SK,SK1455,CPH,S,49,0.0,0,2900,0,0.5,0
2016,1,1,4,10,ARRIVAL,WF,WF125,FRO,D,12,0.0,90,2900,0,2.1,0
2016,1,1,4,10,ARRIVAL,BA,BA762,LHR,I,187,0.0,90,2900,0,2.1,0
2016,1,1,4,10,DEPARTURE,DY,DY1348,MAN,I,51,0.0,90,2900,0,2.1,0
2016,1,1,4,10,DEPARTURE,DY,DY1550,BUD,S,42,0.0,90,2900,0,2.1,0
2016,1,1,4,10,DEPARTURE,DY,DY1060,TLL,S,40,0.2,80,700,0,2.6,0
2016,1,1,4,10,DEPARTURE,SK,SK484,ARN,S,39,0.2,80,700,0,2.6,0
2016,1,1,4,11,DEPARTURE,SK,SK907,EWR,I,50,0.2,80,700,0,2.6,0
2016,1,1,4,11,DEPARTURE,DY,DY1020,WAW,S,47A,0.2,80,700,0,2.6,0
2016,1,1,4,11,ARRIVAL,DY,DY7002,JFK,I,48,0.2,80,700,0,2.6,0
2016,1,1,4,11,ARRIVAL,FI,FI318,KEF,S,46,0.2,80,700,0,2.6,1
2016,1,1,4,11,DEPARTURE,DY,DY1156,MUC,S,41,0.2,80,700,0,2.6,0
2016,1,1,4,11,DEPARTURE,DY,DY1072,RIX,S,38,0.2,110,700,0,1.5,0
2016,1,1,4,11,DEPARTURE,BA,BA763,LHR,I,58B,0.2,110,700,0,1.5,0
2016,1,1,4,11,DEPARTURE,DY,DY1052,GDN,S,37B,0.2,110,700,0,1.5,0
2016,1,1,4,11,ARRIVAL,EK,EK159,DXB,I,50,0.2,110,700,0,1.5,0
2016,1,1,4,11,DEPARTURE,SU,SU2717,SVO,I,58E,0.2,110,700,0,1.5,0
2016,1,1,4,11,DEPARTURE,SK,SK4416,TOS,D,26,0.2,110,700,0,1.5,0
2016,2,1,0,21,ARRIVAL,SK,SK836,CDG,S,40,0.0,210,19000,-1,5.7,0
2016,2,1,0,21,ARRIVAL,SK,SK4698,LPA,S,42,0.0,210,19000,-1,5.7,0
2016,2,1,0,21,ARRIVAL,SK,SK290,BGO,D,22,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,ARRIVAL,WF,WF163,SOG,D,7,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,DEPARTURE,SK,SK382,TRD,D,12,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,ARRIVAL,WF,WF196,FDE,D,3,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,DEPARTURE,SK,SK4051,SVG,D,19A,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,DEPARTURE,SK,SK295,BGO,D,19B,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,ARRIVAL,WF,WF337,GOT,S,76,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,DEPARTURE,SK,SK227,KRS,D,26,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,DEPARTURE,SK,SK1334,AES,D,18,0.0,210,19000,-1,5.7,1
2016,2,1,0,21,ARRIVAL,DY,DY1109,SXF,S,44,0.0,210,19000,-1,5.7,0
