REFERENCETIME,AIR_TEMPERATURE,PRECIPITATION,VISIBILITY,WIND_DIRECTION,WIND_SPEED
2016-01-01T00:30:00,4,0.0,50000,0,2.6
2016-01-01T01:00:00,4,0.02,50000,160,5.1
2016-01-01T01:30:00,5,0.02,50000,180,3.1
2016-01-01T02:00:00,5,0.0,50000,150,3.6
2016-01-01T03:00:00,5,0.0,50000,150,5.7
2016-01-01T03:30:00,5,0.0,50000,120,3.6
2016-01-01T04:00:00,5,0.0,50000,110,4.6
2016-01-01T04:30:00,5,0.0,50000,140,5.7
2016-01-01T05:00:00,5,0.0,50000,150,6.2
2016-01-01T05:30:00,5,0.0,50000,140,4.6
2016-01-01T06:00:00,5,0.04,50000,130,5.1
2016-01-01T06:30:00,5,0.04,50000,60,1.5
2016-01-01T07:00:00,5,0.0,50000,140,4.6
2016-01-01T07:30:00,5,0.0,50000,0,3.1
2016-01-01T08:00:00,6,0.0,50000,0,2.6
2016-01-01T08:30:00,6,0.0,50000,170,3.6
2016-01-01T09:00:00,6,0.0,50000,150,6.2
2016-01-01T09:30:00,6,0.0,50000,130,6.2
2016-01-01T10:00:00,6,0.0,50000,130,5.7
2016-01-01T10:30:00,6,0.0,50000,130,10.3
2016-01-01T11:00:00,6,0.05,50000,130,9.3
2016-01-01T11:30:00,6,0.05,50000,70,3.6
2016-01-01T12:00:00,6,0.0,50000,140,7.2
2016-01-01T12:30:00,6,0.0,50000,170,7.7
2016-01-01T13:00:00,6,0.0,50000,70,1.5
2016-01-01T13:30:00,6,0.0,50000,90,4.6
2016-01-01T14:00:00,5,0.03,50000,70,3.1
2016-01-01T14:30:00,6,0.03,50000,90,3.1
2016-01-01T15:00:00,6,0.02,50000,160,3.1
2016-01-01T15:30:00,6,0.02,50000,120,2.6
2016-01-01T16:00:00,5,0.0,38025,130,1.5
2016-01-01T16:30:00,5,0.0,38025,60,1.5
2016-01-01T17:00:00,5,0.0,50000,90,2.6
2016-01-01T17:30:00,5,0.0,50000,120,3.1
2016-01-01T18:00:00,5,0.07,50000,90,3.6
2016-01-01T18:30:00,5,0.07,50000,110,3.1
2016-01-01T19:00:00,5,0.0,50000,110,3.6
2016-01-01T19:30:00,4,0.0,50000,120,4.1
2016-01-01T20:00:00,4,0.01,50000,120,3.6
2016-01-01T20:30:00,4,0.01,50000,110,3.6
